Field Name,Type,Parent,API
"timestamp","BigInt","Swap","uniswap"
"pool","Pool","Swap","uniswap"
"token0","Token","Swap","uniswap"
"token1","Token","Swap","uniswap"
"sender","Bytes","Swap","uniswap"
"recipient","Bytes","Swap","uniswap"
"origin","Bytes","Swap","uniswap"
"amount0","BigDecimal","Swap","uniswap"
"amount1","BigDecimal","Swap","uniswap"
"amountUSD","BigDecimal","Swap","uniswap"
"sqrtPriceX96","BigInt","Swap","uniswap"
"tick","BigInt","Swap","uniswap"
"logIndex","BigInt","Swap","uniswap"
"id","ID","Tick","uniswap"
"poolAddress","String","Tick","uniswap"
"tickIdx","BigInt","Tick","uniswap"
"pool","Pool","Tick","uniswap"
"liquidityGross","BigInt","Tick","uniswap"
"liquidityNet","BigInt","Tick","uniswap"
"price0","BigDecimal","Tick","uniswap"
"price1","BigDecimal","Tick","uniswap"
"volumeToken0","BigDecimal","Tick","uniswap"
"volumeToken1","BigDecimal","Tick","uniswap"
"volumeUSD","BigDecimal","Tick","uniswap"
"untrackedVolumeUSD","BigDecimal","Tick","uniswap"
"feesUSD","BigDecimal","Tick","uniswap"
"collectedFeesToken0","BigDecimal","Tick","uniswap"
"collectedFeesToken1","BigDecimal","Tick","uniswap"
"collectedFeesUSD","BigDecimal","Tick","uniswap"
"createdAtTimestamp","BigInt","Tick","uniswap"
"createdAtBlockNumber","BigInt","Tick","uniswap"
"liquidityProviderCount","BigInt","Tick","uniswap"
"feeGrowthOutside0X128","BigInt","Tick","uniswap"
"feeGrowthOutside1X128","BigInt","Tick","uniswap"
"id","ID","TickDayData","uniswap"
"date","Int","TickDayData","uniswap"
"pool","Pool","TickDayData","uniswap"
"tick","Tick","TickDayData","uniswap"
"liquidityGross","BigInt","TickDayData","uniswap"
"liquidityNet","BigInt","TickDayData","uniswap"
"volumeToken0","BigDecimal","TickDayData","uniswap"
"volumeToken1","BigDecimal","TickDayData","uniswap"
"volumeUSD","BigDecimal","TickDayData","uniswap"
"feesUSD","BigDecimal","TickDayData","uniswap"
"feeGrowthOutside0X128","BigInt","TickDayData","uniswap"
"feeGrowthOutside1X128","BigInt","TickDayData","uniswap"
"id","ID","TickHourData","uniswap"
"periodStartUnix","Int","TickHourData","uniswap"
"pool","Pool","TickHourData","uniswap"
"tick","Tick","TickHourData","uniswap"
"liquidityGross","BigInt","TickHourData","uniswap"
"liquidityNet","BigInt","TickHourData","uniswap"
"volumeToken0","BigDecimal","TickHourData","uniswap"
"volumeToken1","BigDecimal","TickHourData","uniswap"
"volumeUSD","BigDecimal","TickHourData","uniswap"
"feesUSD","BigDecimal","TickHourData","uniswap"
"id","ID","Token","uniswap"
"symbol","String","Token","uniswap"
"name","String","Token","uniswap"
"decimals","BigInt","Token","uniswap"
"totalSupply","BigInt","Token","uniswap"
"volume","BigDecimal","Token","uniswap"
"volumeUSD","BigDecimal","Token","uniswap"
"untrackedVolumeUSD","BigDecimal","Token","uniswap"
"feesUSD","BigDecimal","Token","uniswap"
"txCount","BigInt","Token","uniswap"
"poolCount","BigInt","Token","uniswap"
"totalValueLocked","BigDecimal","Token","uniswap"
"totalValueLockedUSD","BigDecimal","Token","uniswap"
"totalValueLockedUSDUntracked","BigDecimal","Token","uniswap"
"derivedETH","BigDecimal","Token","uniswap"
"whitelistPools","Unknown","Token","uniswap"
"tokenDayData","Unknown","Token","uniswap"
"id","ID","TokenDayData","uniswap"
"date","Int","TokenDayData","uniswap"
"token","Token","TokenDayData","uniswap"
"volume","BigDecimal","TokenDayData","uniswap"
"volumeUSD","BigDecimal","TokenDayData","uniswap"
"untrackedVolumeUSD","BigDecimal","TokenDayData","uniswap"
"totalValueLocked","BigDecimal","TokenDayData","uniswap"
"totalValueLockedUSD","BigDecimal","TokenDayData","uniswap"
"priceUSD","BigDecimal","TokenDayData","uniswap"
"feesUSD","BigDecimal","TokenDayData","uniswap"
"open","BigDecimal","TokenDayData","uniswap"
"high","BigDecimal","TokenDayData","uniswap"
"low","BigDecimal","TokenDayData","uniswap"
"close","BigDecimal","TokenDayData","uniswap"
"id","ID","TokenHourData","uniswap"
"periodStartUnix","Int","TokenHourData","uniswap"
"token","Token","TokenHourData","uniswap"
"volume","BigDecimal","TokenHourData","uniswap"
"volumeUSD","BigDecimal","TokenHourData","uniswap"
"untrackedVolumeUSD","BigDecimal","TokenHourData","uniswap"
"totalValueLocked","BigDecimal","TokenHourData","uniswap"
"totalValueLockedUSD","BigDecimal","TokenHourData","uniswap"
"priceUSD","BigDecimal","TokenHourData","uniswap"
"feesUSD","BigDecimal","TokenHourData","uniswap"
"open","BigDecimal","TokenHourData","uniswap"
"high","BigDecimal","TokenHourData","uniswap"
"low","BigDecimal","TokenHourData","uniswap"
"close","BigDecimal","TokenHourData","uniswap"
"id","ID","Transaction","uniswap"
"blockNumber","BigInt","Transaction","uniswap"
"timestamp","BigInt","Transaction","uniswap"
"gasUsed","BigInt","Transaction","uniswap"
"gasPrice","BigInt","Transaction","uniswap"
"mints","Unknown","Transaction","uniswap"
"burns","Unknown","Transaction","uniswap"
"swaps","Unknown","Transaction","uniswap"
"flashed","Unknown","Transaction","uniswap"
"collects","Unknown","Transaction","uniswap"
"id","ID","UniswapDayData","uniswap"
"date","Int","UniswapDayData","uniswap"
"volumeETH","BigDecimal","UniswapDayData","uniswap"
"volumeUSD","BigDecimal","UniswapDayData","uniswap"
"volumeUSDUntracked","BigDecimal","UniswapDayData","uniswap"
"feesUSD","BigDecimal","UniswapDayData","uniswap"
"txCount","BigInt","UniswapDayData","uniswap"
"tvlUSD","BigDecimal","UniswapDayData","uniswap"
"hash","Bytes","_Block_","uniswap"
"number","Int","_Block_","uniswap"
"timestamp","Int","_Block_","uniswap"
"parentHash","Bytes","_Block_","uniswap"
"block","_Block_","_Meta_","uniswap"
"deployment","String","_Meta_","uniswap"
"hasIndexingErrors","Boolean","_Meta_","uniswap"
