Field Name,Type,Parent,API
"totalVolumeNotional","BigDecimal","TokenSnapshot","balancerOptimism"
"totalSwapCount","BigInt","TokenSnapshot","balancerOptimism"
"id","ID","TradePair","balancerOptimism"
"token0","Token","TradePair","balancerOptimism"
"token1","Token","TradePair","balancerOptimism"
"totalSwapVolume","BigDecimal","TradePair","balancerOptimism"
"totalSwapFee","BigDecimal","TradePair","balancerOptimism"
"id","ID","TradePairSnapshot","balancerOptimism"
"pair","TradePair","TradePairSnapshot","balancerOptimism"
"timestamp","Int","TradePairSnapshot","balancerOptimism"
"totalSwapVolume","BigDecimal","TradePairSnapshot","balancerOptimism"
"totalSwapFee","BigDecimal","TradePairSnapshot","balancerOptimism"
"id","ID","User","balancerOptimism"
"sharesOwned","Unknown","User","balancerOptimism"
"swaps","Unknown","User","balancerOptimism"
"userInternalBalances","Unknown","User","balancerOptimism"
"id","ID","UserInternalBalance","balancerOptimism"
"userAddress","User","UserInternalBalance","balancerOptimism"
"token","Bytes","UserInternalBalance","balancerOptimism"
"tokenInfo","Token","UserInternalBalance","balancerOptimism"
"balance","BigDecimal","UserInternalBalance","balancerOptimism"
"hash","Bytes","_Block_","balancerOptimism"
"number","Int","_Block_","balancerOptimism"
"timestamp","Int","_Block_","balancerOptimism"
"parentHash","Bytes","_Block_","balancerOptimism"
"block","_Block_","_Meta_","balancerOptimism"
"deployment","String","_Meta_","balancerOptimism"
"hasIndexingErrors","Boolean","_Meta_","balancerOptimism"
