Field Name,Type,Parent,API
"logIndex","Int","Swap","curveEthereum"
"protocol","DexAmmProtocol","Swap","curveEthereum"
"to","String","Swap","curveEthereum"
"from","String","Swap","curveEthereum"
"blockNumber","BigInt","Swap","curveEthereum"
"timestamp","BigInt","Swap","curveEthereum"
"tokenIn","Token","Swap","curveEthereum"
"amountIn","BigInt","Swap","curveEthereum"
"amountInUSD","BigDecimal","Swap","curveEthereum"
"tokenOut","Token","Swap","curveEthereum"
"amountOut","BigInt","Swap","curveEthereum"
"amountOutUSD","BigDecimal","Swap","curveEthereum"
"pool","LiquidityPool","Swap","curveEthereum"
"id","ID","Token","curveEthereum"
"name","String","Token","curveEthereum"
"symbol","String","Token","curveEthereum"
"decimals","Int","Token","curveEthereum"
"isBasePoolLpToken","Boolean","Token","curveEthereum"
"lastPriceUSD","BigDecimal","Token","curveEthereum"
"lastPriceBlockNumber","BigInt","Token","curveEthereum"
"oracleType","String","Token","curveEthereum"
"_totalSupply","BigInt","Token","curveEthereum"
"_totalValueLockedUSD","BigDecimal","Token","curveEthereum"
"_largePriceChangeBuffer","Int","Token","curveEthereum"
"_largeTVLImpactBuffer","Int","Token","curveEthereum"
"id","ID","UsageMetricsDailySnapshot","curveEthereum"
"protocol","DexAmmProtocol","UsageMetricsDailySnapshot","curveEthereum"
"dailyActiveUsers","Int","UsageMetricsDailySnapshot","curveEthereum"
"cumulativeUniqueUsers","Int","UsageMetricsDailySnapshot","curveEthereum"
"dailyTransactionCount","Int","UsageMetricsDailySnapshot","curveEthereum"
"dailyDepositCount","Int","UsageMetricsDailySnapshot","curveEthereum"
"dailyWithdrawCount","Int","UsageMetricsDailySnapshot","curveEthereum"
"dailySwapCount","Int","UsageMetricsDailySnapshot","curveEthereum"
"totalPoolCount","Int","UsageMetricsDailySnapshot","curveEthereum"
"blockNumber","BigInt","UsageMetricsDailySnapshot","curveEthereum"
"timestamp","BigInt","UsageMetricsDailySnapshot","curveEthereum"
"id","ID","UsageMetricsHourlySnapshot","curveEthereum"
"protocol","DexAmmProtocol","UsageMetricsHourlySnapshot","curveEthereum"
"hourlyActiveUsers","Int","UsageMetricsHourlySnapshot","curveEthereum"
"cumulativeUniqueUsers","Int","UsageMetricsHourlySnapshot","curveEthereum"
"hourlyTransactionCount","Int","UsageMetricsHourlySnapshot","curveEthereum"
"hourlyDepositCount","Int","UsageMetricsHourlySnapshot","curveEthereum"
"hourlyWithdrawCount","Int","UsageMetricsHourlySnapshot","curveEthereum"
"hourlySwapCount","Int","UsageMetricsHourlySnapshot","curveEthereum"
"blockNumber","BigInt","UsageMetricsHourlySnapshot","curveEthereum"
"timestamp","BigInt","UsageMetricsHourlySnapshot","curveEthereum"
"id","ID","Withdraw","curveEthereum"
"hash","String","Withdraw","curveEthereum"
"logIndex","Int","Withdraw","curveEthereum"
"protocol","DexAmmProtocol","Withdraw","curveEthereum"
"to","String","Withdraw","curveEthereum"
"from","String","Withdraw","curveEthereum"
"blockNumber","BigInt","Withdraw","curveEthereum"
"timestamp","BigInt","Withdraw","curveEthereum"
"inputTokens","Unknown","Withdraw","curveEthereum"
"outputToken","Token","Withdraw","curveEthereum"
"inputTokenAmounts","Unknown","Withdraw","curveEthereum"
"outputTokenAmount","BigInt","Withdraw","curveEthereum"
"amountUSD","BigDecimal","Withdraw","curveEthereum"
"pool","LiquidityPool","Withdraw","curveEthereum"
"hash","Bytes","_Block_","curveEthereum"
"number","Int","_Block_","curveEthereum"
"timestamp","Int","_Block_","curveEthereum"
"parentHash","Bytes","_Block_","curveEthereum"
"id","ID","_CircularBuffer","curveEthereum"
"blocks","Unknown","_CircularBuffer","curveEthereum"
"windowStartIndex","Int","_CircularBuffer","curveEthereum"
"nextIndex","Int","_CircularBuffer","curveEthereum"
"bufferSize","Int","_CircularBuffer","curveEthereum"
"blocksPerDay","BigDecimal","_CircularBuffer","curveEthereum"
"id","ID","_LiquidityGauge","curveEthereum"
"poolAddress","String","_LiquidityGauge","curveEthereum"
"id","ID","_LpToken","curveEthereum"
"poolAddress","String","_LpToken","curveEthereum"
"registryAddress","String","_LpToken","curveEthereum"
"block","_Block_","_Meta_","curveEthereum"
"deployment","String","_Meta_","curveEthereum"
"hasIndexingErrors","Boolean","_Meta_","curveEthereum"
